company,year,new_hires,layoffs,net_change,hiring_rate_pct,attrition_rate_pct,gdp_growth_us_pct,unemployment_rate_us_pct
Oracle,2010,3150,3150,0,3.0,3.0,2.7,9.6
Oracle,2011,6150,3150,3000,5.9,3.0,1.6,8.9
Oracle,2012,10240,3240,7000,9.5,3.0,2.3,8.1
Oracle,2013,8450,3450,5000,7.3,3.0,1.8,7.4
Oracle,2014,5600,3600,2000,4.7,3.0,2.5,6.2
Oracle,2015,13660,3660,10000,11.2,3.0,2.9,5.3
Oracle,2016,7960,3960,4000,6.0,3.0,1.6,4.9
Oracle,2017,6080,4080,2000,4.5,3.0,2.4,4.4
Oracle,2018,3140,4140,-1000,2.3,3.0,2.9,3.9
Oracle,2019,3110,4110,-1000,2.3,3.0,2.3,3.7
Oracle,2020,4080,4080,0,3.0,3.0,-2.8,8.1
Oracle,2021,11080,4080,7000,8.1,3.0,5.8,5.4
Oracle,2022,29580,8580,21000,20.7,6.0,1.9,3.6
Oracle,2023,4840,9840,-5000,3.0,6.0,2.5,3.7
Oracle,2024,5770,4770,1000,3.6,3.0,2.8,4.1
Oracle,2025,6800,4800,2000,4.2,3.0,2.3,4.2
PayPal,2001,540,40,500,108.0,8.0,1.0,4.7
PayPal,2002,1130,80,1050,113.0,8.0,1.7,5.8
PayPal,2003,511,61,450,24.9,3.0,2.8,6.0
PayPal,2004,575,75,500,23.0,3.0,3.8,5.5
PayPal,2005,1090,90,1000,36.3,3.0,3.5,5.1
PayPal,2006,620,120,500,15.5,3.0,2.8,4.6
PayPal,2007,835,135,700,18.6,3.0,2.0,4.6
PayPal,2008,1016,416,600,19.5,8.0,0.1,5.8
PayPal,2009,964,464,500,16.6,8.0,-2.6,9.3
PayPal,2010,829,189,640,13.2,3.0,2.7,9.6
PayPal,2011,3268,208,3060,47.1,3.0,1.6,8.9
PayPal,2012,3300,300,3000,33.0,3.0,2.3,8.1
PayPal,2013,1390,390,1000,10.7,3.0,1.8,7.4
PayPal,2014,2220,420,1800,15.9,3.0,2.5,6.2
PayPal,2015,2674,474,2200,16.9,3.0,2.9,5.3
PayPal,2016,1240,540,700,6.9,3.0,1.6,4.9
PayPal,2017,2861,561,2300,15.3,3.0,2.4,4.4
PayPal,2018,2830,630,2200,13.5,3.0,2.9,3.9
PayPal,2019,696,696,0,3.0,3.0,2.3,3.7
PayPal,2020,3996,696,3300,17.2,3.0,-2.8,8.1
PayPal,2021,5195,795,4400,19.6,3.0,5.8,5.4
PayPal,2022,954,1854,-900,3.1,6.0,1.9,3.6
PayPal,2023,0,2500,-2500,0.0,8.3,2.5,3.7
PayPal,2024,1325,825,500,4.8,3.0,2.8,4.1
PayPal,2025,1340,840,500,4.8,3.0,2.3,4.2
Pinterest,2011,9,1,8,21.4,2.4,1.6,8.9
Pinterest,2012,51,1,50,102.0,2.0,2.3,8.1
Pinterest,2013,153,3,150,153.0,3.0,1.8,7.4
Pinterest,2014,257,7,250,102.8,2.8,2.5,6.2
Pinterest,2015,315,15,300,63.0,3.0,2.9,5.3
Pinterest,2016,524,24,500,65.5,3.0,1.6,4.9
Pinterest,2017,339,39,300,26.1,3.0,2.4,4.4
Pinterest,2018,348,48,300,21.8,3.0,2.9,3.9
Pinterest,2019,457,57,400,24.1,3.0,2.3,3.7
Pinterest,2020,969,69,900,42.1,3.0,-2.8,8.1
Pinterest,2021,596,96,500,18.6,3.0,5.8,5.4
Pinterest,2022,622,222,400,16.8,6.0,1.9,3.6
Pinterest,2023,0,700,-700,0.0,17.1,2.5,3.7
Pinterest,2024,202,102,100,5.9,3.0,2.8,4.1
Pinterest,2025,205,105,100,5.9,3.0,2.3,4.2
SAP,2001,4620,1920,2700,19.2,8.0,1.0,4.7
SAP,2002,4236,2136,2100,15.9,8.0,1.7,5.8
SAP,2003,2064,864,1200,7.2,3.0,2.8,6.0
SAP,2004,3000,900,2100,10.0,3.0,3.8,5.5
SAP,2005,863,963,-100,2.7,3.0,3.5,5.1
SAP,2006,4960,960,4000,15.5,3.0,2.8,4.6
SAP,2007,7080,1080,6000,19.7,3.0,2.0,4.6
SAP,2008,12860,3360,9500,30.6,8.0,0.1,5.8
SAP,2009,180,4120,-3940,0.3,8.0,-2.6,9.3
SAP,2010,5366,1426,3940,11.3,3.0,2.7,9.6
SAP,2011,5045,1545,3500,9.8,3.0,1.6,8.9
SAP,2012,11050,1650,9400,20.1,3.0,2.3,8.1
SAP,2013,4032,1932,2100,6.3,3.0,1.8,7.4
SAP,2014,9895,1995,7900,14.9,3.0,2.5,6.2
SAP,2015,4832,2232,2600,6.5,3.0,2.9,5.3
SAP,2016,9510,2310,7200,12.4,3.0,1.6,4.9
SAP,2017,6826,2526,4300,8.1,3.0,2.4,4.4
SAP,2018,10653,2655,7998,12.0,3.0,2.9,3.9
SAP,2019,6726,2894,3832,7.0,3.0,2.3,3.7
SAP,2020,5109,3009,2100,5.1,3.0,-2.8,8.1
SAP,2021,8057,3072,4985,7.9,3.0,5.8,5.4
SAP,2022,10990,6444,4546,10.2,6.0,1.9,3.6
SAP,2023,5049,6717,-1668,4.5,6.0,2.5,3.7
SAP,2024,3015,3308,-293,2.7,3.0,2.8,4.1
SAP,2025,4300,3300,1000,3.9,3.0,2.3,4.2
Salesforce,2001,113,3,110,282.5,7.5,1.0,4.7
Salesforce,2002,162,12,150,108.0,8.0,1.7,5.8
Salesforce,2003,209,9,200,69.7,3.0,2.8,6.0
Salesforce,2004,265,15,250,53.0,3.0,3.8,5.5
Salesforce,2005,39,22,17,5.2,2.9,3.5,5.1
Salesforce,2006,456,23,433,59.5,3.0,2.8,4.6
Salesforce,2007,936,36,900,78.0,3.0,2.0,4.6
Salesforce,2008,668,168,500,31.8,8.0,0.1,5.8
Salesforce,2009,808,208,600,31.1,8.0,-2.6,9.3
Salesforce,2010,865,96,769,27.0,3.0,2.7,9.6
Salesforce,2011,1456,119,1337,36.7,3.0,1.6,8.9
Salesforce,2012,2638,159,2479,49.7,3.0,2.3,8.1
Salesforce,2013,2248,233,2015,28.9,3.0,1.8,7.4
Salesforce,2014,3794,294,3500,38.7,3.0,2.5,6.2
Salesforce,2015,3099,399,2700,23.3,3.0,2.9,5.3
Salesforce,2016,3480,480,3000,21.8,3.0,1.6,4.9
Salesforce,2017,6748,570,6178,35.5,3.0,2.4,4.4
Salesforce,2018,4577,755,3822,18.2,3.0,2.9,3.9
Salesforce,2019,6870,870,6000,23.7,3.0,2.3,3.7
Salesforce,2020,22656,1050,21606,64.7,3.0,-2.8,8.1
Salesforce,2021,18633,1698,16935,32.9,3.0,5.8,5.4
Salesforce,2022,10261,4412,5849,14.0,6.0,1.9,3.6
Salesforce,2023,0,6708,-6708,0.0,8.4,2.5,3.7
Salesforce,2024,1818,2180,-362,2.5,3.0,2.8,4.1
Salesforce,2025,1849,2169,-320,2.6,3.0,2.3,4.2
Shopify,2006,2,0,2,25.0,0.0,2.8,4.6
Shopify,2007,10,0,10,100.0,0.0,2.0,4.6
Shopify,2008,11,1,10,55.0,5.0,0.1,5.8
Shopify,2009,12,2,10,40.0,6.7,-2.6,9.3
Shopify,2010,21,1,20,52.5,2.5,2.7,9.6
Shopify,2011,41,1,40,68.3,1.7,1.6,8.9
Shopify,2012,53,3,50,53.0,3.0,2.3,8.1
Shopify,2013,104,4,100,69.3,2.7,1.8,7.4
Shopify,2014,207,7,200,82.8,2.8,2.5,6.2
